day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-12-19,-0.7519981178743359,1.4330002910466044,1.7428196671328813,1.7329329037021932,4.0
2024-12-20,0.07281179238444133,0.38520762159833605,-0.25881979798165244,0.1831600514807243,4.0
2024-12-22,-0.14140931884707378,0.17385437922819721,0.23589281827131203,0.698751194535812,2.0
2024-12-23,0.3194078413643259,1.5789968398474388,0.13975484698038895,0.8047979560969303,4.0
2024-12-27,-0.675,1.0,0.0,1.0,1.0
2025-01-07,0.029527101649833853,0.8744081455263142,-0.26917722985828335,0.41569269810362164,10.0
2025-01-08,-0.8387305272311457,0.6311102300606936,-0.3233695204184427,0.09216518976373446,2.0
2025-01-10,-0.3844568730397088,0.9224590962150855,-0.3450930639755366,0.07525256232264424,3.0
2025-01-11,-0.14115926662800118,0.33058667859335117,-0.2155796802789618,0.19774518961020807,3.0
2025-01-12,0.6876307217904931,1.0,,1.0,1.0
2025-01-13,1.406257607922979,1.0,-0.38854015108972434,1.0,1.0
2025-01-26,0.2542745514625806,0.2975762400102173,-0.3233695204184427,0.09216518976373446,2.0
2025-01-29,-0.505927147863129,0.6893604367494995,-0.3233695204184427,0.09216518976373446,2.0
2025-02-01,0.873406452435435,0.556104835303435,-0.3233695204184427,0.09216518976373449,2.0
2025-02-02,0.7071067811865476,1.0,,1.0,1.0
2025-02-03,0.11666666666666665,1.0,0.0,1.0,1.0
2025-02-04,-1.3350749554026589,1.0,-0.8528028654224418,1.0,1.0
2025-02-16,-0.21793837263487217,1.0,-0.38854015108972434,1.0,1.0
2025-02-19,1.2584164191402043,0.3953841393399288,1.6131221526852657,2.8307779772895647,2.0
2025-03-09,0.24598203128416765,1.0,-0.2581988897471611,1.0,1.0
